crew_name,id_movie
Alexander Hammid,"[27040, 122479]"
Alexander Holt,[65186]
Alexander Kluge,"[89785, 12578, 154582]"
Alexander Korda,"[50031, 12232, 43122, 43798, 42818, 182756, 169842, 38719, 43687, 32596]"
Alexander Mackendrick,"[976, 5506, 32568, 16665, 38340, 48954, 3052]"
Alexander McQueen,[30953]
Alexander Nanau,[55802]
Alexander Nevsky,[272610]
Alexander Olch,[70569]
Alexander Payne,"[13891, 9451, 2755, 9675, 2266, 65057, 129670, 353921]"
Alexander Poe,[135200]
Alexander Singer,[104974]
Alexander Sokurov,"[44361, 16646, 17479, 98246, 44513, 254738, 55971, 77560, 326038, 45943, 145147, 114006, 45886, 118635, 178907, 52701, 155052, 355211, 296449]"
Alexander Witt,[1577]
Alexander Yellen,[296626]
Alexandra Kondracke,[254936]
Alexandra Leclère,[366566]
Alexandra Lescaze,[201360]
Alexandra Lipsitz,[13070]
Alexandra McGuinness,[179805]
Alexandra Pelosi,"[158413, 25003, 362077]"
Alexandra Weltz,[139712]
Alexandra-Therese Keining,"[71325, 356218]"
Alexandre Aja,"[10226, 9792, 13515, 43593, 149509, 294795]"
Alexandre Arcady,"[45368, 119193, 238781, 40055]"
Alexandre Arpentinier,[441043]
Alexandre Astier,"[129966, 170522]"
Alexandre Boury,[243664]
Alexandre Bustillo,"[13312, 83900, 193726, 300665]"
Alexandre Carvalho,[262782]
Alexandre Castagnetti,"[57307, 168055, 289171]"
Alexandre Coffre,"[219318, 305455]"
Alexandre Courtès,[96648]
Alexandre Espigares,[234862]
Alexandre Esway,[82185]
Alexandre Franchi,[44680]
Alexandre Heboyan,[323661]
Alexandre Lehmann,"[408508, 381043]"
Alexandre Moors,[158739]
Alexandre O. Philippe,"[75311, 250577, 359749]"
Alexandre Promio,[190553]
Alexandre Rockwell,"[5, 44535, 52936, 72843, 43656]"
Alexandre Volkoff,"[47190, 176389]"
Alexandre de La Patellière,"[112198, 323661]"
Alexandria Bombach,[324271]
Alexandros Avranas,[211052]
Alexandru Maftei,[88274]
Alexandru Solomon,"[250810, 60434]"
Alexey Chupov,[204690]
